"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","team_away_id","team_home_elo_pre","team_away_elo_pre"
"1","19660902LVRMIA",1966,"1",1966-09-02,"MIA","LVR",1000,1000
"2","19660903DENTEN",1966,"1",1966-09-03,"TEN","DEN",1000,1000
"3","19660904BUFLAC",1966,"1",1966-09-04,"LAC","BUF",1000,1000
"4","19660909NYJMIA",1966,"2",1966-09-09,"MIA","NYJ",950,1000
"5","19660910INDGB",1966,"1",1966-09-10,"GB","IND",1000,1000
"6","19660910LVRTEN",1966,"2",1966-09-10,"TEN","LVR",1050,1050
"7","19660910NELAC",1966,"2",1966-09-10,"LAC","NE",1050,1000
"8","19660911CHIDET",1966,"1",1966-09-11,"DET","CHI",1000,1000
"9","19660911CLEWAS",1966,"1",1966-09-11,"WAS","CLE",1000,1000
"10","19660911KCBUF",1966,"2",1966-09-11,"BUF","KC",950,1000
"11","19660911LARATL",1966,"1",1966-09-11,"ATL","LAR",1000,1000
"12","19660911MINSF",1966,"1",1966-09-11,"SF","MIN",1000,1000
"13","19660911NYGPIT",1966,"1",1966-09-11,"PIT","NYG",1000,1000
"14","19660911PHIARI",1966,"1",1966-09-11,"ARI","PHI",1000,1000
"15","19660916CHILAR",1966,"2",1966-09-16,"LAR","CHI",1050,950
"16","19660918ATLPHI",1966,"2",1966-09-18,"PHI","ATL",950,950
"17","19660918DETPIT",1966,"2",1966-09-18,"PIT","DET",1000,1050
"18","19660918GBCLE",1966,"2",1966-09-18,"CLE","GB",1050,1050
"19","19660918INDMIN",1966,"2",1966-09-18,"MIN","IND",1000,950
"20","19660918KCLVR",1966,"3",1966-09-18,"LVR","KC",1000,1043
"21","19660918MIABUF",1966,"3",1966-09-18,"BUF","MIA",907,907
"22","19660918NEDEN",1966,"3",1966-09-18,"DEN","NE",950,957
"23","19660918NYGDAL",1966,"2",1966-09-18,"DAL","NYG",1000,1000
"24","19660918TENNYJ",1966,"3",1966-09-18,"NYJ","TEN",1043,1100
"25","19660918WASARI",1966,"2",1966-09-18,"ARI","WAS",1050,950
"26","19660925ARICLE",1966,"3",1966-09-25,"CLE","ARI",1000,1086
"27","19660925ATLDET",1966,"3",1966-09-25,"DET","ATL",993,900
"28","19660925KCNE",1966,"4",1966-09-25,"NE","KC",1006,1087
"29","19660925LACLVR",1966,"4",1966-09-25,"LVR","LAC",956,1093
"30","19660925LARGB",1966,"3",1966-09-25,"GB","LAR",1100,1086
"31","19660925MINDAL",1966,"3",1966-09-25,"DAL","MIN",1050,943
"32","19660925NYGPHI",1966,"3",1966-09-25,"PHI","NYG",1000,950
"33","19660925NYJDEN",1966,"4",1966-09-25,"DEN","NYJ",901,1101
"34","19660925SFIND",1966,"3",1966-09-25,"IND","SF",1007,1000
"35","19660925TENBUF",1966,"4",1966-09-25,"BUF","TEN",957,1042
"36","19660925WASPIT",1966,"3",1966-09-25,"PIT","WAS",1057,914
"37","19660930SFLAR",1966,"4",1966-09-30,"LAR","SF",1038,951
"38","19661002ARIPHI",1966,"4",1966-10-02,"PHI","ARI",1043,1124
"39","19661002BUFKC",1966,"5",1966-10-02,"KC","BUF",1126,1019
"40","19661002CHIMIN",1966,"4",1966-10-02,"MIN","CHI",908,914
"41","19661002CLENYG",1966,"4",1966-10-02,"NYG","CLE",907,962
"42","19661002DALATL",1966,"4",1966-10-02,"ATL","DAL",863,1085
"43","19661002DETGB",1966,"4",1966-10-02,"GB","DET",1148,1030
"44","19661002MIALAC",1966,"5",1966-10-02,"LAC","MIA",1124,857
"45","19661002NYJNE",1966,"5",1966-10-02,"NE","NYJ",967,1125
"46","19661002PITWAS",1966,"4",1966-10-02,"WAS","PIT",983,988
"47","19661002TENDEN",1966,"5",1966-10-02,"DEN","TEN",877,980
"48","19661008DENKC",1966,"6",1966-10-08,"KC","DEN",1061,941
"49","19661008LACNYJ",1966,"6",1966-10-08,"NYJ","LAC",1104,1141
"50","19661008NEBUF",1966,"6",1966-10-08,"BUF","NE",1084,988
"51","19661008PITCLE",1966,"5",1966-10-08,"CLE","PIT",1004,937
"52","19661009ATLWAS",1966,"5",1966-10-09,"WAS","ATL",1034,841
"53","19661009GBSF",1966,"5",1966-10-09,"SF","GB",913,1182
"54","19661009INDCHI",1966,"5",1966-10-09,"CHI","IND",963,1056
"55","19661009LARDET",1966,"5",1966-10-09,"DET","LAR",996,1076
"56","19661009MIALVR",1966,"6",1966-10-09,"LVR","MIA",925,840
"57","19661009NYGARI",1966,"5",1966-10-09,"ARI","NYG",1163,865
"58","19661009PHIDAL",1966,"5",1966-10-09,"DAL","PHI",1107,1004
"59","19661016DALARI",1966,"6",1966-10-16,"ARI","DAL",1178,1143
"60","19661016DENMIA",1966,"7",1966-10-16,"MIA","DEN",802,907
"61","19661016DETIND",1966,"6",1966-10-16,"IND","DET",993,957
"62","19661016GBCHI",1966,"6",1966-10-16,"CHI","GB",1026,1099
"63","19661016LACBUF",1966,"7",1966-10-16,"BUF","LAC",1021,1086
"64","19661016LARMIN",1966,"6",1966-10-16,"MIN","LAR",859,1115
"65","19661016LVRKC",1966,"7",1966-10-16,"KC","LVR",1095,963
"66","19661016NYJTEN",1966,"7",1966-10-16,"TEN","NYJ",916,1159
"67","19661016PHIPIT",1966,"6",1966-10-16,"PIT","PHI",896,968
"68","19661016SFATL",1966,"6",1966-10-16,"ATL","SF",816,996
"69","19661016WASNYG",1966,"6",1966-10-16,"NYG","WAS",850,1059
"70","19661023ARIWAS",1966,"7",1966-10-23,"WAS","ARI",982,1173
"71","19661023ATLGB",1966,"7",1966-10-23,"GB","ATL",1139,790
"72","19661023DALCLE",1966,"7",1966-10-23,"CLE","DAL",1045,1148
"73","19661023DETSF",1966,"7",1966-10-23,"SF","DET",1022,912
"74","19661023KCDEN",1966,"8",1966-10-23,"DEN","KC",843,1027
"75","19661023LACNE",1966,"8",1966-10-23,"NE","LAC",1051,1077
"76","19661023LARCHI",1966,"7",1966-10-23,"CHI","LAR",986,1033
"77","19661023LVRNYJ",1966,"8",1966-10-23,"NYJ","LVR",1079,1031
"78","19661023MIATEN",1966,"8",1966-10-23,"TEN","MIA",996,866
"79","19661023MININD",1966,"7",1966-10-23,"IND","MIN",1038,941
"80","19661023PHINYG",1966,"7",1966-10-23,"NYG","PHI",927,1008
"81","19661030BUFNYJ",1966,"9",1966-10-30,"NYJ","BUF",1022,1030
"82","19661030CLEATL",1966,"8",1966-10-30,"ATL","CLE",779,1109
"83","19661030DENLAC",1966,"9",1966-10-30,"LAC","DEN",1023,817
"84","19661030GBDET",1966,"8",1966-10-30,"DET","GB",877,1150
"85","19661030INDLAR",1966,"8",1966-10-30,"LAR","IND",976,1075
"86","19661030LVRNE",1966,"9",1966-10-30,"NE","LVR",1105,1088
"87","19661030PITDAL",1966,"8",1966-10-30,"DAL","PIT",1084,856
"88","19661030SFMIN",1966,"8",1966-10-30,"MIN","SF",904,1057
"89","19661030TENKC",1966,"9",1966-10-30,"KC","TEN",1053,928
"90","19661030WASPHI",1966,"8",1966-10-30,"PHI","WAS",1047,1057
"91","19661031CHIARI",1966,"8",1966-10-31,"ARI","CHI",1098,1043
"92","19661106ARINYG",1966,"9",1966-11-06,"NYG","ARI",888,1140
"93","19661106BUFMIA",1966,"10",1966-11-06,"MIA","BUF",934,1079
"94","19661106CLEPIT",1966,"9",1966-11-06,"PIT","CLE",835,1121
"95","19661106DALPHI",1966,"9",1966-11-06,"PHI","DAL",998,1105
"96","19661106DENNE",1966,"10",1966-11-06,"NE","DEN",1153,794
"97","19661106DETCHI",1966,"9",1966-11-06,"CHI","DET",1001,860
"98","19661106LACKC",1966,"10",1966-11-06,"KC","LAC",1086,1046
"99","19661106LARSF",1966,"9",1966-11-06,"SF","LAR",986,940
"100","19661106MINGB",1966,"9",1966-11-06,"GB","MIN",1167,975
"101","19661106TENLVR",1966,"10",1966-11-06,"LVR","TEN",1040,895
"102","19661106WASIND",1966,"9",1966-11-06,"IND","WAS",1111,1106
"103","19661113ARIPIT",1966,"10",1966-11-13,"PIT","ARI",919,1159
"104","19661113DALWAS",1966,"10",1966-11-13,"WAS","DAL",1057,1040
"105","19661113DETMIN",1966,"10",1966-11-13,"MIN","DET",1050,879
"106","19661113INDATL",1966,"10",1966-11-13,"ATL","IND",767,1160
"107","19661113LVRLAC",1966,"11",1966-11-13,"LAC","LVR",1002,1070
"108","19661113MIAKC",1966,"11",1966-11-13,"KC","MIA",1130,904
"109","19661113NYGLAR",1966,"10",1966-11-13,"LAR","NYG",896,869
"110","19661113NYJBUF",1966,"11",1966-11-13,"BUF","NYJ",1109,973
"111","19661113PHICLE",1966,"10",1966-11-13,"CLE","PHI",1037,1063
"112","19661113SFCHI",1966,"10",1966-11-13,"CHI","SF",982,1030
"113","19661113TENNE",1966,"11",1966-11-13,"NE","TEN",1063,865
"114","19661120ATLNYG",1966,"11",1966-11-20,"NYG","ATL",823,759
"115","19661120BUFTEN",1966,"12",1966-11-20,"TEN","BUF",841,1141
"116","19661120CHIGB",1966,"11",1966-11-20,"GB","CHI",1092,989
"117","19661120DALPIT",1966,"11",1966-11-20,"PIT","DAL",999,1092
"118","19661120INDDET",1966,"11",1966-11-20,"DET","IND",952,1168
"119","19661120LVRDEN",1966,"12",1966-11-20,"DEN","LVR",884,1111
"120","19661120MIANYJ",1966,"12",1966-11-20,"NYJ","MIA",941,883
"121","19661120MINLAR",1966,"11",1966-11-20,"LAR","MIN",942,977
"122","19661120NEKC",1966,"12",1966-11-20,"KC","NE",1151,1087
"123","19661120PHISF",1966,"11",1966-11-20,"SF","PHI",1023,1009
"124","19661120WASCLE",1966,"11",1966-11-20,"CLE","WAS",1091,1005
"125","19661124BUFLVR",1966,"13",1966-11-24,"LVR","BUF",1132,1155
"126","19661124CLEDAL",1966,"12",1966-11-24,"DAL","CLE",1129,1129
"127","19661124SFDET",1966,"12",1966-11-24,"DET","SF",1030,971
"128","19661127ATLCHI",1966,"12",1966-11-27,"CHI","ATL",953,818
"129","19661127GBMIN",1966,"12",1966-11-27,"MIN","GB",922,1128
"130","19661127KCNYJ",1966,"13",1966-11-27,"NYJ","KC",983,1142
"131","19661127LACDEN",1966,"13",1966-11-27,"DEN","LAC",863,961
"132","19661127LARIND",1966,"12",1966-11-27,"IND","LAR",1090,997
"133","19661127NEMIA",1966,"13",1966-11-27,"MIA","NE",841,1096
"134","19661127NYGWAS",1966,"12",1966-11-27,"WAS","NYG",967,764
"135","19661127PITARI",1966,"12",1966-11-27,"ARI","PIT",1079,962
"136","19661203NYJLVR",1966,"14",1966-12-03,"LVR","NYJ",1085,954
"137","19661204ARIDAL",1966,"13",1966-12-04,"DAL","ARI",1179,1113
"138","19661204ATLMIN",1966,"13",1966-12-04,"MIN","ATL",899,786
"139","19661204BUFNE",1966,"14",1966-12-04,"NE","BUF",1114,1202
"140","19661204CHIIND",1966,"13",1966-12-04,"IND","CHI",1027,985
"141","19661204DETLAR",1966,"13",1966-12-04,"LAR","DET",1060,972
"142","19661204LACTEN",1966,"14",1966-12-04,"TEN","LAC",827,897
"143","19661204MIADEN",1966,"14",1966-12-04,"DEN","MIA",927,823
"144","19661204NYGCLE",1966,"13",1966-12-04,"CLE","NYG",1079,740
"145","19661204PITPHI",1966,"13",1966-12-04,"PHI","PIT",1061,928
"146","19661204SFGB",1966,"13",1966-12-04,"GB","SF",1151,1029
"147","19661210GBIND",1966,"14",1966-12-10,"IND","GB",1071,1184
"148","19661211ARIATL",1966,"14",1966-12-11,"ATL","ARI",852,1072
"149","19661211CHISF",1966,"14",1966-12-11,"SF","CHI",996,941
"150","19661211CLEPHI",1966,"14",1966-12-11,"PHI","CLE",1093,1091
"151","19661211DENLVR",1966,"15",1966-12-11,"LVR","DEN",1067,963
"152","19661211KCMIA",1966,"15",1966-12-11,"MIA","KC",787,1171
"153","19661211MINDET",1966,"14",1966-12-11,"DET","MIN",934,833
"154","19661211NETEN",1966,"15",1966-12-11,"TEN","NE",787,1176
"155","19661211NYJLAC",1966,"15",1966-12-11,"LAC","NYJ",937,972
"156","19661211PITNYG",1966,"14",1966-12-11,"NYG","PIT",728,896
"157","19661211WASDAL",1966,"14",1966-12-11,"DAL","WAS",1220,991
"158","19661217CLEARI",1966,"15",1966-12-17,"ARI","CLE",994,1041
"159","19661217NENYJ",1966,"16",1966-12-17,"NYJ","NE",917,1184
"160","19661218DALNYG",1966,"15",1966-12-18,"NYG","DAL",700,1141
"161","19661218DENBUF",1966,"16",1966-12-18,"BUF","DEN",1140,927
"162","19661218GBLAR",1966,"15",1966-12-18,"LAR","GB",1098,1218
"163","19661218INDSF",1966,"15",1966-12-18,"SF","IND",1038,1037
"164","19661218KCLAC",1966,"16",1966-12-18,"LAC","KC",992,1180
"165","19661218MINCHI",1966,"15",1966-12-18,"CHI","MIN",899,897
"166","19661218PHIWAS",1966,"15",1966-12-18,"WAS","PHI",1070,1143
"167","19661218PITATL",1966,"15",1966-12-18,"ATL","PIT",930,924
"168","19661218TENMIA",1966,"16",1966-12-18,"MIA","TEN",778,779
"169","19670101GBDAL",1966,"Conference",1967-01-01,"DAL","GB",1147,1252
"170","19670101KCBUF",1966,"Conference",1967-01-01,"BUF","KC",1163,1205
"171","19670115KCGB",1966,"Superbowl",1967-01-15,"GB","KC",1288,1249
"172","19670903NEDEN",1967,"1",1967-09-03,"DEN","NE",904,1101
"173","19670909KCTEN",1967,"2",1967-09-09,"TEN","KC",729,1204
"174","19670909NELAC",1967,"2",1967-09-09,"LAC","NE",967,1025
"175","19670910DENLVR",1967,"2",1967-09-10,"LVR","DEN",1103,980
"176","19670910NYJBUF",1967,"2",1967-09-10,"BUF","NYJ",1119,1000
"177","19670917ATLIND",1967,"1",1967-09-17,"IND","ATL",1087,879
"178","19670917CHIPIT",1967,"1",1967-09-17,"PIT","CHI",975,949
"179","19670917DALCLE",1967,"1",1967-09-17,"CLE","DAL",1084,1111
"180","19670917DENMIA",1967,"3",1967-09-17,"MIA","DEN",828,947
"181","19670917DETGB",1967,"1",1967-09-17,"GB","DET",1333,870
"182","19670917LARNO",1967,"1",1967-09-17,"NO","LAR",1000,1064
"183","19670917NELVR",1967,"3",1967-09-17,"LVR","NE",1136,967
"184","19670917NYGARI",1967,"1",1967-09-17,"ARI","NYG",951,694
"185","19670917SFMIN",1967,"1",1967-09-17,"MIN","SF",847,988
"186","19670917TENBUF",1967,"3",1967-09-17,"BUF","TEN",1153,724
"187","19670917WASPHI",1967,"1",1967-09-17,"PHI","WAS",1183,1030
"188","19670922MINLAR",1967,"2",1967-09-22,"LAR","MIN",1105,816
"189","19670924ARIPIT",1967,"2",1967-09-24,"PIT","ARI",1021,869
"190","19670924ATLSF",1967,"2",1967-09-24,"SF","ATL",1019,856
"191","19670924CHIGB",1967,"2",1967-09-24,"GB","CHI",1288,903
"192","19670924CLEDET",1967,"2",1967-09-24,"DET","CLE",915,1038
"193","19670924INDPHI",1967,"2",1967-09-24,"PHI","IND",1212,1110
"194","19670924KCMIA",1967,"4",1967-09-24,"MIA","KC",894,1209
"195","19670924NEBUF",1967,"4",1967-09-24,"BUF","NE",1059,939
"196","19670924NYGDAL",1967,"2",1967-09-24,"DAL","NYG",1157,776
"197","19670924NYJDEN",1967,"4",1967-09-24,"DEN","NYJ",881,966
"198","19670924TENLAC",1967,"4",1967-09-24,"LAC","TEN",1025,818
"199","19670924WASNO",1967,"2",1967-09-24,"NO","WAS",959,1001
"200","19671001ATLGB",1967,"3",1967-10-01,"GB","ATL",1297,828
"201","19671001CHIMIN",1967,"3",1967-10-01,"MIN","CHI",801,894
"202","19671001CLENO",1967,"3",1967-10-01,"NO","CLE",915,971
"203","19671001DENTEN",1967,"5",1967-10-01,"TEN","DEN",795,843
"204","19671001DETARI",1967,"3",1967-10-01,"ARI","DET",939,982
"205","19671001KCLVR",1967,"5",1967-10-01,"LVR","KC",1164,1222
"206","19671001LACBUF",1967,"5",1967-10-01,"BUF","LAC",993,1048
"207","19671001LARDAL",1967,"3",1967-10-01,"DAL","LAR",1166,1120
"208","19671001MIANYJ",1967,"5",1967-10-01,"NYJ","MIA",1004,881
"209","19671001NYGWAS",1967,"3",1967-10-01,"WAS","NYG",1045,767
"210","19671001PITPHI",1967,"3",1967-10-01,"PHI","PIT",1148,951
"211","19671001SFIND",1967,"3",1967-10-01,"IND","SF",1174,1047
"212","19671007LVRNYJ",1967,"6",1967-10-07,"NYJ","LVR",1037,1222
"213","19671007PITCLE",1967,"4",1967-10-07,"CLE","PIT",1013,927
"214","19671008ARIMIN",1967,"4",1967-10-08,"MIN","ARI",764,995
"215","19671008BUFDEN",1967,"6",1967-10-08,"DEN","BUF",786,951
"216","19671008DALWAS",1967,"4",1967-10-08,"WAS","DAL",1061,1110
"217","19671008GBDET",1967,"4",1967-10-08,"DET","GB",926,1302
"218","19671008INDCHI",1967,"4",1967-10-08,"CHI","IND",931,1207
"219","19671008MIAKC",1967,"6",1967-10-08,"KC","MIA",1164,848
"220","19671008NELAC",1967,"6",1967-10-08,"LAC","NE",1090,1005
"221","19671008NONYG",1967,"4",1967-10-08,"NYG","NO",751,873
"222","19671008PHIATL",1967,"4",1967-10-08,"ATL","PHI",823,1172
"223","19671008SFLAR",1967,"4",1967-10-08,"LAR","SF",1176,1014
"224","19671015ARICLE",1967,"5",1967-10-15,"CLE","ARI",1051,1016
"225","19671015DETCHI",1967,"5",1967-10-15,"CHI","DET",915,917
"226","19671015KCLAC",1967,"7",1967-10-15,"LAC","KC",1078,1177
"227","19671015LARIND",1967,"5",1967-10-15,"IND","LAR",1223,1104
"228","19671015LVRBUF",1967,"7",1967-10-15,"BUF","LVR",979,1148
"229","19671015MIANE",1967,"7",1967-10-15,"NE","MIA",1017,835
"230","19671015MINGB",1967,"5",1967-10-15,"GB","MIN",1311,743
"231","19671015NODAL",1967,"5",1967-10-15,"DAL","NO",1153,806
"232","19671015NYGPIT",1967,"5",1967-10-15,"PIT","NYG",889,818
"233","19671015SFPHI",1967,"5",1967-10-15,"PHI","SF",1183,1086
"234","19671015TENNYJ",1967,"7",1967-10-15,"NYJ","TEN",1111,852
"235","19671015WASATL",1967,"5",1967-10-15,"ATL","WAS",812,1018
"236","19671022ATLDET",1967,"6",1967-10-22,"DET","ATL",867,839
"237","19671022CHICLE",1967,"6",1967-10-22,"CLE","CHI",1096,965
"238","19671022DALPIT",1967,"6",1967-10-22,"PIT","DAL",829,1164
"239","19671022GBNYG",1967,"6",1967-10-22,"NYG","GB",878,1213
"240","19671022INDMIN",1967,"6",1967-10-22,"MIN","IND",841,1207
"241","19671022LACDEN",1967,"8",1967-10-22,"DEN","LAC",758,1142
"242","19671022LVRNE",1967,"8",1967-10-22,"NE","LVR",1043,1176
"243","19671022NOSF",1967,"6",1967-10-22,"SF","NO",1149,795
"244","19671022NYJMIA",1967,"8",1967-10-22,"MIA","NYJ",809,1079
"245","19671022PHIARI",1967,"6",1967-10-22,"ARI","PHI",971,1120
"246","19671022TENKC",1967,"8",1967-10-22,"KC","TEN",1113,884
"247","19671022WASLAR",1967,"6",1967-10-22,"LAR","WAS",1120,991
"248","19671029BUFTEN",1967,"9",1967-10-29,"TEN","BUF",963,951
"249","19671029CLENYG",1967,"7",1967-10-29,"NYG","CLE",866,1128
"250","19671029DALPHI",1967,"7",1967-10-29,"PHI","DAL",1050,1176
"251","19671029DENKC",1967,"9",1967-10-29,"KC","DEN",1034,749
"252","19671029DETSF",1967,"7",1967-10-29,"SF","DET",1160,913
"253","19671029INDWAS",1967,"7",1967-10-29,"WAS","IND",1009,1167
"254","19671029LACLVR",1967,"9",1967-10-29,"LVR","LAC",1208,1151
"255","19671029LARCHI",1967,"7",1967-10-29,"CHI","LAR",933,1102
"256","19671029MINATL",1967,"7",1967-10-29,"ATL","MIN",793,881
"257","19671029NENYJ",1967,"9",1967-10-29,"NYJ","NE",1096,1011
