"","schedule_week","Date","Home Team","Away Team","Winner Pick","Spread Pick","Over/Under Pick"
"12145","1",2018-09-06,"PHI","ATL","PHI (77%)","PHI (-1)","Over (44.5)"
"12146","1",2018-09-09,"BAL","BUF","BAL (56%)","BUF (+7.5)","Over (39)"
"12147","1",2018-09-09,"GB","CHI","GB (72%)","CHI (+6.5)","Over (45)"
"12148","1",2018-09-09,"IND","CIN","CIN (73%)","CIN (-1)","Under (47.5)"
"12149","1",2018-09-09,"CAR","DAL","CAR (57%)","CAR (-2.5)","Over (42.5)"
"12150","1",2018-09-09,"NE","HOU","NE (99%)","NE (-6)","Under (49.5)"
"12151","1",2018-09-09,"NYG","JAX","JAX (74%)","JAX (-2.5)","Over (43)"
"12152","1",2018-09-09,"LAC","KC","LAC (63%)","LAC (-3.5)","Under (48)"
"12153","1",2018-09-09,"CLE","PIT","PIT (98%)","PIT (-3.5)","Over (41)"
"12154","1",2018-09-09,"DEN","SEA","SEA (67%)","SEA (+3)","Over (42.5)"
"12155","1",2018-09-09,"MIN","SF","MIN (82%)","MIN (-6)","Over (46.5)"
"12156","1",2018-09-09,"NO","TB","NO (82%)","TB (+10)","Under (50)"
"12157","1",2018-09-09,"MIA","TEN","TEN (61%)","MIA (+1)","Over (43.5)"
"12158","1",2018-09-09,"ARI","WAS","ARI (70%)","ARI (-2)","Over (43.5)"
"12159","1",2018-09-10,"LVR","LAR","LAR (65%)","LVR (+6.5)","Under (47.5)"
"12160","1",2018-09-10,"DET","NYJ","DET (82%)","DET (-7)","Over (44)"
"12161","2",2018-09-13,"CIN","BAL","CIN (52%)","CIN (-1)","Over (43)"
"12162","2",2018-09-16,"LAR","ARI","LAR (73%)","ARI (+13.5)","Over (43.5)"
"12163","2",2018-09-16,"ATL","CAR","ATL (58%)","CAR (+5.5)","Over (44)"
"12164","2",2018-09-16,"NO","CLE","NO (98%)","NO (-10)","Under (51)"
"12165","2",2018-09-16,"SF","DET","SF (65%)","DET (+6)","Under (48.5)"
"12166","2",2018-09-16,"TEN","HOU","TEN (86%)","TEN (+3.5)","Over (41)"
"12167","2",2018-09-16,"WAS","IND","WAS (86%)","WAS (-6)","Under (48)"
"12168","2",2018-09-16,"PIT","KC","PIT (63%)","KC (+4.5)","Under (52)"
"12169","2",2018-09-16,"BUF","LAC","LAC (51%)","BUF (+7.5)","Over (41.5)"
"12170","2",2018-09-16,"DEN","LVR","DEN (64%)","LVR (+5.5)","Over (44)"
"12171","2",2018-09-16,"NYJ","MIA","MIA (50%)","MIA (+3)","Over (43)"
"12172","2",2018-09-16,"GB","MIN","MIN (80%)","MIN (-2)","Over (45)"
"12173","2",2018-09-16,"JAX","NE","NE (74%)","NE (-2)","Under (44.5)"
"12174","2",2018-09-16,"DAL","NYG","DAL (87%)","DAL (-3)","Over (42)"
"12175","2",2018-09-16,"TB","PHI","PHI (86%)","PHI (-3)","Over (46.5)"
"12176","2",2018-09-17,"CHI","SEA","SEA (64%)","SEA (+4.5)","Under (42.5)"
"12177","3",2018-09-20,"CLE","NYJ","NYJ (80%)","NYJ (+3)","Under (41)"
"12178","3",2018-09-23,"MIN","BUF","MIN (90%)","BUF (+16.5)","Over (41)"
"12179","3",2018-09-23,"ARI","CHI","ARI (67%)","ARI (+5.5)","Over (39)"
"12180","3",2018-09-23,"CAR","CIN","CAR (64%)","CAR (-2.5)","Over (44)"
"12181","3",2018-09-23,"SEA","DAL","DAL (72%)","DAL (+1)","Over (40)"
"12182","3",2018-09-23,"BAL","DEN","BAL (63%)","DEN (+5.5)","Under (46)"
"12183","3",2018-09-23,"WAS","GB","GB (55%)","WAS (+2.5)","Under (45.5)"
"12184","3",2018-09-23,"PHI","IND","PHI (97%)","PHI (-6.5)","Under (45.5)"
"12185","3",2018-09-23,"LAR","LAC","LAR (65%)","LAC (+7.5)","Under (49)"
"12186","3",2018-09-23,"MIA","LVR","MIA (80%)","MIA (-3)","Under (46)"
"12187","3",2018-09-23,"DET","NE","NE (84%)","DET (+7)","Under (55)"
"12188","3",2018-09-23,"ATL","NO","ATL (75%)","ATL (-1.5)","Under (54)"
"12189","3",2018-09-23,"HOU","NYG","NYG (56%)","NYG (+6.5)","Under (44)"
"12190","3",2018-09-23,"KC","SF","KC (70%)","SF (+5.5)","Under (53)"
"12191","3",2018-09-23,"JAX","TEN","JAX (80%)","TEN (+10)","Over (39)"
"12192","3",2018-09-24,"TB","PIT","TB (63%)","TB (+1)","Under (55)"
"12193","4",2018-09-27,"LAR","MIN","LAR (60%)","MIN (+7.5)","Under (48.5)"
"12194","4",2018-09-30,"PIT","BAL","PIT (70%)","PIT (-3)","Over (51)"
