"","schedule_week","schedule_date","team_home_id","team_away_id","team_winner_predicted","team_winner_ats","team_home_win_prob","team_away_win_prob","over_under_pick","score_total_predicted"
"1","1",1966-09-02,"MIA","LVR","MIA (58%)",NA,0.577089937385459,0.422910062614541,NA,41.2
"2","1",1966-09-03,"TEN","DEN","TEN (58%)",NA,0.577089937385459,0.422910062614541,NA,41.2
"3","1",1966-09-04,"LAC","BUF","LAC (58%)",NA,0.577089937385459,0.422910062614541,NA,41.2
"4","2",1966-09-09,"MIA","NYJ","MIA (51%)",NA,0.507052002500637,0.492947997499363,NA,41.1
"5","1",1966-09-10,"GB","IND","GB (58%)",NA,0.577089937385459,0.422910062614541,NA,41.2
"6","2",1966-09-10,"TEN","LVR","TEN (58%)",NA,0.577089937385459,0.422910062614541,NA,41.5
"7","2",1966-09-10,"LAC","NE","LAC (64%)",NA,0.644767279629354,0.355232720370646,NA,41.3
"8","1",1966-09-11,"DET","CHI","DET (58%)",NA,0.577089937385459,0.422910062614541,NA,39.8
"9","1",1966-09-11,"WAS","CLE","WAS (58%)",NA,0.577089937385459,0.422910062614541,NA,36.7
"10","2",1966-09-11,"BUF","KC","BUF (51%)",NA,0.507052002500637,0.492947997499363,NA,39.9
"11","1",1966-09-11,"ATL","LAR","ATL (58%)",NA,0.577089937385459,0.422910062614541,NA,40
"12","1",1966-09-11,"SF","MIN","SF (58%)",NA,0.577089937385459,0.422910062614541,"Under (NA)",39.8
"13","1",1966-09-11,"PIT","NYG","PIT (58%)",NA,0.577089937385459,0.422910062614541,NA,36.7
"14","1",1966-09-11,"ARI","PHI","ARI (58%)",NA,0.577089937385459,0.422910062614541,NA,38.6
"15","2",1966-09-16,"LAR","CHI","LAR (71%)",NA,0.708156711172405,0.291843288827595,NA,41
"16","2",1966-09-18,"PHI","ATL","PHI (58%)",NA,0.577089937385459,0.422910062614541,NA,47
"17","2",1966-09-18,"PIT","DET","PIT (51%)",NA,0.507052002500637,0.492947997499363,NA,44.9
"18","2",1966-09-18,"CLE","GB","CLE (58%)",NA,0.577089937385459,0.422910062614541,NA,47.7
"19","2",1966-09-18,"MIN","IND","MIN (64%)",NA,0.644767279629354,0.355232720370646,NA,47.1
"20","3",1966-09-18,"LVR","KC","LVR (52%)",NA,0.516920611170868,0.483079388829132,NA,49.4
"21","3",1966-09-18,"BUF","MIA","BUF (58%)",NA,0.577089937385459,0.422910062614541,NA,43.3
"22","3",1966-09-18,"DEN","NE","DEN (57%)",NA,0.56737917590996,0.43262082409004,NA,47.1
"23","2",1966-09-18,"DAL","NYG","DAL (58%)",NA,0.577089937385459,0.422910062614541,NA,47.4
"24","3",1966-09-18,"NYJ","TEN","TEN (50%)",NA,0.497179075589984,0.502820924410016,NA,47.9
"25","2",1966-09-18,"ARI","WAS","ARI (71%)",NA,0.708156711172405,0.291843288827595,NA,46.4
"26","3",1966-09-25,"CLE","ARI","ARI (54%)",NA,0.456362690241919,0.543637309758081,NA,43.8
"27","3",1966-09-25,"DET","ATL","DET (70%)",NA,0.6996029920215,0.3003970079785,NA,45.7
