"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","team_away_id","score_home","score_away","stadium_neutral","schedule_playoff"
"1","19660902LVRMIA",1966,"1",1966-09-02,"MIA","LVR",14,23,FALSE,FALSE
"2","19660903DENTEN",1966,"1",1966-09-03,"TEN","DEN",45,7,FALSE,FALSE
"3","19660904BUFLAC",1966,"1",1966-09-04,"LAC","BUF",27,7,FALSE,FALSE
"4","19660909NYJMIA",1966,"2",1966-09-09,"MIA","NYJ",14,19,FALSE,FALSE
"5","19660910INDGB",1966,"1",1966-09-10,"GB","IND",24,3,FALSE,FALSE
"6","19660910LVRTEN",1966,"2",1966-09-10,"TEN","LVR",31,0,FALSE,FALSE
"7","19660910NELAC",1966,"2",1966-09-10,"LAC","NE",24,0,FALSE,FALSE
"8","19660911CHIDET",1966,"1",1966-09-11,"DET","CHI",14,3,FALSE,FALSE
"9","19660911CLEWAS",1966,"1",1966-09-11,"WAS","CLE",14,38,FALSE,FALSE
"10","19660911KCBUF",1966,"2",1966-09-11,"BUF","KC",20,42,FALSE,FALSE
"11","19660911LARATL",1966,"1",1966-09-11,"ATL","LAR",14,19,FALSE,FALSE
"12","19660911MINSF",1966,"1",1966-09-11,"SF","MIN",20,20,FALSE,FALSE
"13","19660911NYGPIT",1966,"1",1966-09-11,"PIT","NYG",34,34,FALSE,FALSE
"14","19660911PHIARI",1966,"1",1966-09-11,"ARI","PHI",16,13,FALSE,FALSE
"15","19660916CHILAR",1966,"2",1966-09-16,"LAR","CHI",31,17,FALSE,FALSE
"16","19660918ATLPHI",1966,"2",1966-09-18,"PHI","ATL",23,10,FALSE,FALSE
"17","19660918DETPIT",1966,"2",1966-09-18,"PIT","DET",17,3,FALSE,FALSE
"18","19660918GBCLE",1966,"2",1966-09-18,"CLE","GB",20,21,FALSE,FALSE
"19","19660918INDMIN",1966,"2",1966-09-18,"MIN","IND",23,38,FALSE,FALSE
"20","19660918KCLVR",1966,"3",1966-09-18,"LVR","KC",10,32,FALSE,FALSE
"21","19660918MIABUF",1966,"3",1966-09-18,"BUF","MIA",58,24,FALSE,FALSE
"22","19660918NEDEN",1966,"3",1966-09-18,"DEN","NE",10,24,FALSE,FALSE
"23","19660918NYGDAL",1966,"2",1966-09-18,"DAL","NYG",52,7,FALSE,FALSE
"24","19660918TENNYJ",1966,"3",1966-09-18,"NYJ","TEN",52,13,FALSE,FALSE
"25","19660918WASARI",1966,"2",1966-09-18,"ARI","WAS",23,7,FALSE,FALSE
"26","19660925ARICLE",1966,"3",1966-09-25,"CLE","ARI",28,34,FALSE,FALSE
"27","19660925ATLDET",1966,"3",1966-09-25,"DET","ATL",28,10,FALSE,FALSE
"28","19660925KCNE",1966,"4",1966-09-25,"NE","KC",24,43,FALSE,FALSE
"29","19660925LACLVR",1966,"4",1966-09-25,"LVR","LAC",20,29,FALSE,FALSE
