"","game_id","schedule_season","schedule_week","schedule_date","team_favorite_id","spread_favorite","over_under_line"
"1","19660902LVRMIA",1966,"1",1966-09-02,"",NA,NA
"2","19660903DENTEN",1966,"1",1966-09-03,"",NA,NA
"3","19660904BUFLAC",1966,"1",1966-09-04,"",NA,NA
"4","19660909NYJMIA",1966,"2",1966-09-09,"",NA,NA
"5","19660910INDGB",1966,"1",1966-09-10,"",NA,NA
"6","19660910LVRTEN",1966,"2",1966-09-10,"",NA,NA
"7","19660910NELAC",1966,"2",1966-09-10,"",NA,NA
"8","19660911CHIDET",1966,"1",1966-09-11,"",NA,NA
"9","19660911CLEWAS",1966,"1",1966-09-11,"",NA,NA
"10","19660911KCBUF",1966,"2",1966-09-11,"",NA,NA
"11","19660911LARATL",1966,"1",1966-09-11,"",NA,NA
"12","19660911MINSF",1966,"1",1966-09-11,"",NA,NA
"13","19660911NYGPIT",1966,"1",1966-09-11,"",NA,NA
"14","19660911PHIARI",1966,"1",1966-09-11,"",NA,NA
"15","19660916CHILAR",1966,"2",1966-09-16,"",NA,NA
"16","19660918ATLPHI",1966,"2",1966-09-18,"",NA,NA
"17","19660918DETPIT",1966,"2",1966-09-18,"",NA,NA
"18","19660918GBCLE",1966,"2",1966-09-18,"",NA,NA
"19","19660918INDMIN",1966,"2",1966-09-18,"",NA,NA
"20","19660918KCLVR",1966,"3",1966-09-18,"",NA,NA
"21","19660918MIABUF",1966,"3",1966-09-18,"",NA,NA
"22","19660918NEDEN",1966,"3",1966-09-18,"",NA,NA
"23","19660918NYGDAL",1966,"2",1966-09-18,"",NA,NA
"24","19660918TENNYJ",1966,"3",1966-09-18,"",NA,NA
"25","19660918WASARI",1966,"2",1966-09-18,"",NA,NA
"26","19660925ARICLE",1966,"3",1966-09-25,"",NA,NA
"27","19660925ATLDET",1966,"3",1966-09-25,"",NA,NA
"28","19660925KCNE",1966,"4",1966-09-25,"",NA,NA
"29","19660925LACLVR",1966,"4",1966-09-25,"",NA,NA
"30","19660925LARGB",1966,"3",1966-09-25,"",NA,NA
"31","19660925MINDAL",1966,"3",1966-09-25,"",NA,NA
"32","19660925NYGPHI",1966,"3",1966-09-25,"",NA,NA
"33","19660925NYJDEN",1966,"4",1966-09-25,"",NA,NA
"34","19660925SFIND",1966,"3",1966-09-25,"",NA,NA
"35","19660925TENBUF",1966,"4",1966-09-25,"",NA,NA
"36","19660925WASPIT",1966,"3",1966-09-25,"",NA,NA
"37","19660930SFLAR",1966,"4",1966-09-30,"",NA,NA
"38","19661002ARIPHI",1966,"4",1966-10-02,"",NA,NA
"39","19661002BUFKC",1966,"5",1966-10-02,"",NA,NA
"40","19661002CHIMIN",1966,"4",1966-10-02,"",NA,NA
"41","19661002CLENYG",1966,"4",1966-10-02,"",NA,NA
"42","19661002DALATL",1966,"4",1966-10-02,"",NA,NA
"43","19661002DETGB",1966,"4",1966-10-02,"",NA,NA
"44","19661002MIALAC",1966,"5",1966-10-02,"",NA,NA
"45","19661002NYJNE",1966,"5",1966-10-02,"",NA,NA
"46","19661002PITWAS",1966,"4",1966-10-02,"",NA,NA
"47","19661002TENDEN",1966,"5",1966-10-02,"",NA,NA
"48","19661008DENKC",1966,"6",1966-10-08,"",NA,NA
"49","19661008LACNYJ",1966,"6",1966-10-08,"",NA,NA
"50","19661008NEBUF",1966,"6",1966-10-08,"",NA,NA
"51","19661008PITCLE",1966,"5",1966-10-08,"",NA,NA
"52","19661009ATLWAS",1966,"5",1966-10-09,"",NA,NA
"53","19661009GBSF",1966,"5",1966-10-09,"",NA,NA
"54","19661009INDCHI",1966,"5",1966-10-09,"",NA,NA
"55","19661009LARDET",1966,"5",1966-10-09,"",NA,NA
"56","19661009MIALVR",1966,"6",1966-10-09,"",NA,NA
"57","19661009NYGARI",1966,"5",1966-10-09,"",NA,NA
"58","19661009PHIDAL",1966,"5",1966-10-09,"",NA,NA
"59","19661016DALARI",1966,"6",1966-10-16,"",NA,NA
"60","19661016DENMIA",1966,"7",1966-10-16,"",NA,NA
"61","19661016DETIND",1966,"6",1966-10-16,"",NA,NA
"62","19661016GBCHI",1966,"6",1966-10-16,"",NA,NA
"63","19661016LACBUF",1966,"7",1966-10-16,"",NA,NA
"64","19661016LARMIN",1966,"6",1966-10-16,"",NA,NA
"65","19661016LVRKC",1966,"7",1966-10-16,"",NA,NA
"66","19661016NYJTEN",1966,"7",1966-10-16,"",NA,NA
"67","19661016PHIPIT",1966,"6",1966-10-16,"",NA,NA
"68","19661016SFATL",1966,"6",1966-10-16,"",NA,NA
"69","19661016WASNYG",1966,"6",1966-10-16,"",NA,NA
"70","19661023ARIWAS",1966,"7",1966-10-23,"",NA,NA
"71","19661023ATLGB",1966,"7",1966-10-23,"",NA,NA
"72","19661023DALCLE",1966,"7",1966-10-23,"",NA,NA
"73","19661023DETSF",1966,"7",1966-10-23,"",NA,NA
"74","19661023KCDEN",1966,"8",1966-10-23,"",NA,NA
"75","19661023LACNE",1966,"8",1966-10-23,"",NA,NA
"76","19661023LARCHI",1966,"7",1966-10-23,"",NA,NA
"77","19661023LVRNYJ",1966,"8",1966-10-23,"",NA,NA
"78","19661023MIATEN",1966,"8",1966-10-23,"",NA,NA
"79","19661023MININD",1966,"7",1966-10-23,"",NA,NA
"80","19661023PHINYG",1966,"7",1966-10-23,"",NA,NA
"81","19661030BUFNYJ",1966,"9",1966-10-30,"",NA,NA
"82","19661030CLEATL",1966,"8",1966-10-30,"",NA,NA
"83","19661030DENLAC",1966,"9",1966-10-30,"",NA,NA
"84","19661030GBDET",1966,"8",1966-10-30,"",NA,NA
"85","19661030INDLAR",1966,"8",1966-10-30,"",NA,NA
"86","19661030LVRNE",1966,"9",1966-10-30,"",NA,NA
"87","19661030PITDAL",1966,"8",1966-10-30,"",NA,NA
"88","19661030SFMIN",1966,"8",1966-10-30,"",NA,NA
"89","19661030TENKC",1966,"9",1966-10-30,"",NA,NA
"90","19661030WASPHI",1966,"8",1966-10-30,"",NA,NA
"91","19661031CHIARI",1966,"8",1966-10-31,"",NA,NA
"92","19661106ARINYG",1966,"9",1966-11-06,"",NA,NA
"93","19661106BUFMIA",1966,"10",1966-11-06,"",NA,NA
"94","19661106CLEPIT",1966,"9",1966-11-06,"",NA,NA
"95","19661106DALPHI",1966,"9",1966-11-06,"",NA,NA
"96","19661106DENNE",1966,"10",1966-11-06,"",NA,NA
"97","19661106DETCHI",1966,"9",1966-11-06,"",NA,NA
"98","19661106LACKC",1966,"10",1966-11-06,"",NA,NA
"99","19661106LARSF",1966,"9",1966-11-06,"",NA,NA
"100","19661106MINGB",1966,"9",1966-11-06,"",NA,NA
"101","19661106TENLVR",1966,"10",1966-11-06,"",NA,NA
"102","19661106WASIND",1966,"9",1966-11-06,"",NA,NA
"103","19661113ARIPIT",1966,"10",1966-11-13,"",NA,NA
"104","19661113DALWAS",1966,"10",1966-11-13,"",NA,NA
"105","19661113DETMIN",1966,"10",1966-11-13,"",NA,NA
"106","19661113INDATL",1966,"10",1966-11-13,"",NA,NA
"107","19661113LVRLAC",1966,"11",1966-11-13,"",NA,NA
"108","19661113MIAKC",1966,"11",1966-11-13,"",NA,NA
"109","19661113NYGLAR",1966,"10",1966-11-13,"",NA,NA
"110","19661113NYJBUF",1966,"11",1966-11-13,"",NA,NA
"111","19661113PHICLE",1966,"10",1966-11-13,"",NA,NA
"112","19661113SFCHI",1966,"10",1966-11-13,"",NA,NA
"113","19661113TENNE",1966,"11",1966-11-13,"",NA,NA
"114","19661120ATLNYG",1966,"11",1966-11-20,"",NA,NA
"115","19661120BUFTEN",1966,"12",1966-11-20,"",NA,NA
"116","19661120CHIGB",1966,"11",1966-11-20,"",NA,NA
"117","19661120DALPIT",1966,"11",1966-11-20,"",NA,NA
"118","19661120INDDET",1966,"11",1966-11-20,"",NA,NA
"119","19661120LVRDEN",1966,"12",1966-11-20,"",NA,NA
"120","19661120MIANYJ",1966,"12",1966-11-20,"",NA,NA
"121","19661120MINLAR",1966,"11",1966-11-20,"",NA,NA
"122","19661120NEKC",1966,"12",1966-11-20,"",NA,NA
"123","19661120PHISF",1966,"11",1966-11-20,"",NA,NA
"124","19661120WASCLE",1966,"11",1966-11-20,"",NA,NA
"125","19661124BUFLVR",1966,"13",1966-11-24,"",NA,NA
"126","19661124CLEDAL",1966,"12",1966-11-24,"",NA,NA
"127","19661124SFDET",1966,"12",1966-11-24,"",NA,NA
"128","19661127ATLCHI",1966,"12",1966-11-27,"",NA,NA
"129","19661127GBMIN",1966,"12",1966-11-27,"",NA,NA
"130","19661127KCNYJ",1966,"13",1966-11-27,"",NA,NA
"131","19661127LACDEN",1966,"13",1966-11-27,"",NA,NA
"132","19661127LARIND",1966,"12",1966-11-27,"",NA,NA
"133","19661127NEMIA",1966,"13",1966-11-27,"",NA,NA
"134","19661127NYGWAS",1966,"12",1966-11-27,"",NA,NA
"135","19661127PITARI",1966,"12",1966-11-27,"",NA,NA
"136","19661203NYJLVR",1966,"14",1966-12-03,"",NA,NA
"137","19661204ARIDAL",1966,"13",1966-12-04,"",NA,NA
"138","19661204ATLMIN",1966,"13",1966-12-04,"",NA,NA
"139","19661204BUFNE",1966,"14",1966-12-04,"",NA,NA
"140","19661204CHIIND",1966,"13",1966-12-04,"",NA,NA
"141","19661204DETLAR",1966,"13",1966-12-04,"",NA,NA
"142","19661204LACTEN",1966,"14",1966-12-04,"",NA,NA
"143","19661204MIADEN",1966,"14",1966-12-04,"",NA,NA
"144","19661204NYGCLE",1966,"13",1966-12-04,"",NA,NA
"145","19661204PITPHI",1966,"13",1966-12-04,"",NA,NA
"146","19661204SFGB",1966,"13",1966-12-04,"",NA,NA
"147","19661210GBIND",1966,"14",1966-12-10,"",NA,NA
"148","19661211ARIATL",1966,"14",1966-12-11,"",NA,NA
"149","19661211CHISF",1966,"14",1966-12-11,"",NA,NA
"150","19661211CLEPHI",1966,"14",1966-12-11,"",NA,NA
"151","19661211DENLVR",1966,"15",1966-12-11,"",NA,NA
"152","19661211KCMIA",1966,"15",1966-12-11,"",NA,NA
"153","19661211MINDET",1966,"14",1966-12-11,"",NA,NA
"154","19661211NETEN",1966,"15",1966-12-11,"",NA,NA
"155","19661211NYJLAC",1966,"15",1966-12-11,"",NA,NA
"156","19661211PITNYG",1966,"14",1966-12-11,"",NA,NA
"157","19661211WASDAL",1966,"14",1966-12-11,"",NA,NA
"158","19661217CLEARI",1966,"15",1966-12-17,"",NA,NA
"159","19661217NENYJ",1966,"16",1966-12-17,"",NA,NA
"160","19661218DALNYG",1966,"15",1966-12-18,"",NA,NA
"161","19661218DENBUF",1966,"16",1966-12-18,"",NA,NA
"162","19661218GBLAR",1966,"15",1966-12-18,"",NA,NA
"163","19661218INDSF",1966,"15",1966-12-18,"",NA,NA
"164","19661218KCLAC",1966,"16",1966-12-18,"",NA,NA
"165","19661218MINCHI",1966,"15",1966-12-18,"",NA,NA
"166","19661218PHIWAS",1966,"15",1966-12-18,"",NA,NA
"167","19661218PITATL",1966,"15",1966-12-18,"",NA,NA
"168","19661218TENMIA",1966,"16",1966-12-18,"",NA,NA
"169","19670101GBDAL",1966,"Conference",1967-01-01,"",NA,NA
"170","19670101KCBUF",1966,"Conference",1967-01-01,"",NA,NA
"171","19670115KCGB",1966,"Superbowl",1967-01-15,"GB",-14,NA
"172","19670903NEDEN",1967,"1",1967-09-03,"",NA,NA
"173","19670909KCTEN",1967,"2",1967-09-09,"",NA,NA
"174","19670909NELAC",1967,"2",1967-09-09,"",NA,NA
"175","19670910DENLVR",1967,"2",1967-09-10,"",NA,NA
"176","19670910NYJBUF",1967,"2",1967-09-10,"",NA,NA
"177","19670917ATLIND",1967,"1",1967-09-17,"",NA,NA
"178","19670917CHIPIT",1967,"1",1967-09-17,"",NA,NA
"179","19670917DALCLE",1967,"1",1967-09-17,"",NA,NA
"180","19670917DENMIA",1967,"3",1967-09-17,"",NA,NA
"181","19670917DETGB",1967,"1",1967-09-17,"",NA,NA
"182","19670917LARNO",1967,"1",1967-09-17,"",NA,NA
"183","19670917NELVR",1967,"3",1967-09-17,"",NA,NA
"184","19670917NYGARI",1967,"1",1967-09-17,"",NA,NA
"185","19670917SFMIN",1967,"1",1967-09-17,"",NA,NA
"186","19670917TENBUF",1967,"3",1967-09-17,"",NA,NA
"187","19670917WASPHI",1967,"1",1967-09-17,"",NA,NA
"188","19670922MINLAR",1967,"2",1967-09-22,"",NA,NA
"189","19670924ARIPIT",1967,"2",1967-09-24,"",NA,NA
"190","19670924ATLSF",1967,"2",1967-09-24,"",NA,NA
"191","19670924CHIGB",1967,"2",1967-09-24,"",NA,NA
"192","19670924CLEDET",1967,"2",1967-09-24,"",NA,NA
"193","19670924INDPHI",1967,"2",1967-09-24,"",NA,NA
"194","19670924KCMIA",1967,"4",1967-09-24,"",NA,NA
"195","19670924NEBUF",1967,"4",1967-09-24,"",NA,NA
"196","19670924NYGDAL",1967,"2",1967-09-24,"",NA,NA
