"","Team","Season","W","L","T","Win %","Cover %","Over %","Off Pts/G","Def Pts/G","Off Tot Pts","Def Tot Pts"
"1","ARI",2018,353,463,11,50,36.9,NA,19.4,22.8,16085,18825
"2","ATL",2018,720,927,17,50,37.5,NA,19.8,22.7,32906,37701
"3","BAL",2018,935,1102,18,50,40.2,NA,20.1,21.9,41359,45045
"4","BUF",2018,1314,1559,22,50,39.8,NA,20,21.8,57993,63074
"5","CAR",2018,1513,1760,23,50,41.5,NA,20.2,21.7,66490,71539
"6","CHI",2018,1915,2190,27,50,41,NA,19.9,21.3,82358,88141
"7","CIN",2018,2276,2629,31,50,40.8,NA,20.1,21.4,99032,105722
"8","CLE",2018,2607,3078,36,50,40.2,NA,19.9,21.4,113855,122569
"9","DAL",2018,3126,3431,38,50,40.1,NA,20.3,21.1,133826,139451
"10","DEN",2018,3601,3804,45,50,39.9,NA,20.5,21.1,152701,157270
"11","DET",2018,3940,4281,55,50,39.7,NA,20.4,21.2,169112,175292
"12","GB",2018,4399,4669,67,50,39.8,NA,20.6,21.1,188083,192683
"13","HOU",2018,4523,4824,67,50,40.1,NA,20.6,21.1,193847,198992
"14","IND",2018,4965,5231,72,50,39.9,NA,20.7,21.2,212085,217367
"15","JAX",2018,5142,5452,72,50,40.3,NA,20.6,21.2,220168,225954
"16","KC",2018,5575,5850,80,50,40.3,NA,20.7,21.1,238272,242899
"17","LAC",2018,5975,6279,87,50,40.3,NA,20.8,21.2,256608,261085
"18","LAR",2018,6407,6689,95,50,39.9,NA,20.8,21.1,274748,278833
"19","LVR",2018,6865,7080,103,50,39.7,NA,20.9,21.1,293372,296856
"20","MIA",2018,7336,7459,107,50,39.6,NA,20.9,21.1,311444,313944
"21","MIN",2018,7809,7840,115,50,39.6,NA,21,21,330291,331188
"22","NE",2018,8296,8215,118,50,39.7,NA,21,21,349867,348835
"23","NO",2018,8664,8659,123,50,39.7,NA,21,21.1,367074,367362
"24","NYG",2018,9073,9091,127,50,39.8,NA,21,21,383882,384903
"25","NYJ",2018,9451,9546,132,50,39.7,NA,20.9,21.1,400745,402927
"26","PHI",2018,9883,9955,142,50,39.7,NA,20.9,21,418519,420246
"27","PIT",2018,10395,10310,148,50,39.8,NA,21,20.9,437698,436630
"28","SEA",2018,10753,10655,149,50,40.1,NA,21,20.9,452787,451360
"29","SF",2018,11216,11045,158,50,40.1,NA,21.1,20.9,472115,468812
"30","TB",2018,11480,11468,159,50,40.2,NA,21,20.9,484422,483580
"31","TEN",2018,11877,11911,164,50,40.1,NA,20.9,21,501473,502033
"32","WAS",2018,12314,12314,172,50,40.1,NA,20.9,20.9,519380,519380
