"","game_id","schedule_season","schedule_week","schedule_date","team_home_id","stadium","weather_temperature","weather_wind_mph","weather_humidity","weather_detail"
"1","19660902LVRMIA",1966,"1",1966-09-02,"MIA","Orange Bowl",83,6,71,""
"2","19660903DENTEN",1966,"1",1966-09-03,"TEN","Rice Stadium",81,7,70,""
"3","19660904BUFLAC",1966,"1",1966-09-04,"LAC","Balboa Stadium",70,7,82,""
"4","19660909NYJMIA",1966,"2",1966-09-09,"MIA","Orange Bowl",82,11,78,""
"5","19660910INDGB",1966,"1",1966-09-10,"GB","Lambeau Field",64,8,62,""
"6","19660910LVRTEN",1966,"2",1966-09-10,"TEN","Rice Stadium",77,6,82,""
"7","19660910NELAC",1966,"2",1966-09-10,"LAC","Balboa Stadium",69,9,81,""
"8","19660911CHIDET",1966,"1",1966-09-11,"DET","Tiger Stadium",67,7,73,""
"9","19660911CLEWAS",1966,"1",1966-09-11,"WAS","RFK Memorial Stadium",65,8,52,""
"10","19660911KCBUF",1966,"2",1966-09-11,"BUF","War Memorial Stadium",63,11,73,""
"11","19660911LARATL",1966,"1",1966-09-11,"ATL","Atlanta-Fulton County Stadium",71,7,57,""
"12","19660911MINSF",1966,"1",1966-09-11,"SF","Kezar Stadium",60,25,75,""
"13","19660911NYGPIT",1966,"1",1966-09-11,"PIT","Pitt Stadium",64,5,70,""
"14","19660911PHIARI",1966,"1",1966-09-11,"ARI","Busch Memorial Stadium",72,5,70,""
"15","19660916CHILAR",1966,"2",1966-09-16,"LAR","Los Angeles Memorial Coliseum",72,10,52,""
"16","19660918ATLPHI",1966,"2",1966-09-18,"PHI","Franklin Field",61,5,74,""
"17","19660918DETPIT",1966,"2",1966-09-18,"PIT","Pitt Stadium",62,4,67,""
"18","19660918GBCLE",1966,"2",1966-09-18,"CLE","Cleveland Municipal Stadium",62,6,57,""
"19","19660918INDMIN",1966,"2",1966-09-18,"MIN","Metropolitan Stadium",60,4,64,""
"20","19660918KCLVR",1966,"3",1966-09-18,"LVR","Oakland Coliseum",65,11,82,""
"21","19660918MIABUF",1966,"3",1966-09-18,"BUF","War Memorial Stadium",61,3,67,""
"22","19660918NEDEN",1966,"3",1966-09-18,"DEN","Mile High Stadium",59,7,53,""
"23","19660918NYGDAL",1966,"2",1966-09-18,"DAL","Cotton Bowl",72,9,82,""
"24","19660918TENNYJ",1966,"3",1966-09-18,"NYJ","Shea Stadium",68,9,58,""
"25","19660918WASARI",1966,"2",1966-09-18,"ARI","Busch Memorial Stadium",63,5,72,""
"26","19660925ARICLE",1966,"3",1966-09-25,"CLE","Cleveland Municipal Stadium",53,9,72,""
"27","19660925ATLDET",1966,"3",1966-09-25,"DET","Tiger Stadium",56,9,58,""
"28","19660925KCNE",1966,"4",1966-09-25,"NE","Fenway Park",55,20,53,""
"29","19660925LACLVR",1966,"4",1966-09-25,"LVR","Oakland Coliseum",64,12,80,""
"30","19660925LARGB",1966,"3",1966-09-25,"GB","Lambeau Field",46,9,56,""
"31","19660925MINDAL",1966,"3",1966-09-25,"DAL","Cotton Bowl",76,12,60,""
"32","19660925NYGPHI",1966,"3",1966-09-25,"PHI","Franklin Field",55,11,74,""
"33","19660925NYJDEN",1966,"4",1966-09-25,"DEN","Mile High Stadium",66,9,50,""
"34","19660925SFIND",1966,"3",1966-09-25,"IND","Memorial Stadium (Baltimore)",56,7,68,""
"35","19660925TENBUF",1966,"4",1966-09-25,"BUF","War Memorial Stadium",51,13,67,""
